---	---	---	---
狱焰蛸的浓油膜	獄焰鱆的濃油膜	獄焔蛸の濃油膜	Nu Udra Oilmucus+
狱焰蛸的炎玉	獄焰鱆的炎玉	獄焔蛸の炎玉	Nu Udra Flamegem
狱焰蛸狩猎证 S	獄焰鱆狩獵證S	獄焔蛸の狩猟証Ｓ	Nu Udra Certificate S
护辟兽的毛	護闢獸的毛	護闢獣の毛	Guardian Doshaguma Fur
护辟兽的皮	護闢獸的皮	護闢獣の皮	Guardian Doshaguma Hide
护辟兽的爪	護闢獸的爪	護闢獣の爪	Guardian Doshaguma Claw
护辟兽的牙	護闢獸的牙	護闢獣の牙	Guardian Doshaguma Fang
护辟兽狩猎证	護闢獸狩獵證	護闢獣の狩猟証	G. Doshaguma Certificate
护辟兽的刚毛	護闢獸的剛毛	護闢獣の剛毛	Guardian Doshaguma Fur+
护辟兽的上等皮	護闢獸的上皮	護闢獣の上皮	Guardian Doshaguma Hide+
护辟兽的锐爪	護闢獸的銳爪	護闢獣の鋭爪	Guardian Doshaguma Claw+
护辟兽的锐牙	護闢獸的銳牙	護闢獣の鋭牙	Guardian Doshaguma Fang+
护辟兽狩猎证 S	護闢獸狩獵證S	護闢獣の狩猟証Ｓ	G. Doshaguma Certificate S
护火龙的鳞	護火龍的鱗	護火竜の鱗	Guardian Rathalos Scale
护火龙的甲壳	護火龍的甲殼	護火竜の甲殻	Guardian Rathalos Shell
护火龙的翼膜	護火龍的翼膜	護火竜の翼膜	Guardian Rathalos Webbing
护火龙的尾巴	護火龍的尾巴	護火竜の尻尾	Guardian Rathalos Tail
护火龙的逆鳞	護火龍的逆鱗	護火竜の逆鱗	Guardian Rathalos Plate
护火龙狩猎证	護火龍狩獵證	護火竜の狩猟証	G. Rathalos Certificate
护火龙的上等鳞	護火龍的上鱗	護火竜の上鱗	Guardian Rathalos Scale+
护火龙的坚壳	護火龍的堅殼	護火竜の堅殻	Guardian Rathalos Carapace
护火龙的翼	護火龍的翼	護火竜の翼	Guardian Rathalos Wing
护火龙的红玉	護火龍的紅玉	護火竜の紅玉	Guardian Rathalos Ruby
护火龙狩猎证 S	護火龍狩獵證S	護火竜の狩猟証Ｓ	G. Rathalos Certificate S
火龙的延髓	火龍的延髓	火竜の延髄	Rath Medulla
历战狩猎之证Ⅰ	歷戰狩獵之證Ⅰ	歴戦狩猟の証Ⅰ	Hunter Symbol I
历战狩猎之证Ⅱ	歷戰狩獵之證Ⅱ	歴戦狩猟の証Ⅱ	Hunter Symbol II
历战狩猎之证Ⅲ	歷戰狩獵之證Ⅲ	歴戦狩猟の証Ⅲ	Hunter Symbol III
鬼人弹	鬼人彈	鬼人弾	Demon Ammo
硬化弹	硬化彈	硬化弾	Armor Ammo
回复弹	回復彈	回復弾	Recover Ammo
捕获用麻醉弹	捕獲用麻醉彈	捕獲用麻酔弾	Tranq Ammo
减气弹	減氣彈	減気弾	Exhaust Ammo
狂龙结晶碎片	狂龍結晶碎片	狂竜結晶の欠片	Frenzy Shard
冻峰龙的上等鳞	凍峰龍的上鱗	凍峰竜の上鱗	Jin Dahaad Scale+
冻峰龙的坚壳	凍峰龍的堅殼	凍峰竜の堅殻	Jin Dahaad Carapace
冻峰龙的冻凝壳	凍峰龍的凍成殼	凍峰竜の凍成殻	Jin Dahaad Iceplate
冻峰龙的尖爪	凍峰龍的尖爪	凍峰竜の尖爪	Jin Dahaad Claw+
冻峰龙的层角	凍峰龍的層角	凍峰竜の層角	Jin Dahaad Horn
冻峰龙的尾巴	凍峰龍的尾巴	凍峰竜の尻尾	Jin Dahaad Tail
冻峰龙的冰玉	凍峰龍的冰玉	凍峰竜の氷玉	Jin Dahaad Icegem
冻峰龙狩猎证 S	凍峰龍狩獵證S	凍峰竜の狩猟証Ｓ	Jin Dahaad Certificate S
护凶爪龙的鳞	護兇爪龍的鱗	護兇爪竜の鱗	Guardian Ebony Scale
护凶爪龙的硬肌	護兇爪龍的硬肌肉	護兇爪竜の硬筋	Guardian Ebony Sinew
护凶爪龙的爪	護兇爪龍的爪	護兇爪竜の爪	Guardian Ebony Claw
护凶爪龙的牙	護兇爪龍的牙	護兇爪竜の牙	Guardian Ebony Fang
护凶爪龙的尾巴	護兇爪龍的尾巴	護兇爪竜の尻尾	Guardian Ebony Tail
护凶爪龙的逆鳞	護兇爪龍的逆鱗	護兇爪竜の逆鱗	Guardian Ebony Plate
护凶爪龙狩猎证	護兇爪龍狩獵證	護兇爪竜の狩猟証	G. Ebony Odogaron Certificate
护凶爪龙的上等鳞	護兇爪龍的上鱗	護兇爪竜の上鱗	Guardian Ebony Scale+
护凶爪龙的大硬肌	護兇爪龍的大硬肌肉	護兇爪竜の大硬筋	Guardian Ebony Sinew+
护凶爪龙的尖爪	護兇爪龍的尖爪	護兇爪竜の尖爪	Guardian Ebony Claw+
护凶爪龙的锐牙	護兇爪龍的銳牙	護兇爪竜の鋭牙	Guardian Ebony Fang+
护凶爪龙的宝玉	護兇爪龍的寶玉	護兇爪竜の宝玉	Guardian Ebony Gem
护凶爪龙狩猎证 S	護兇爪龍狩獵證S	護兇爪竜の狩猟証Ｓ	G. Ebony Odogaron Certificate S
滋养精华	滋養萃取液	滋養エキス	Nourishing Extract
暗器蛸的皮	暗器鱆的皮	暗器蛸の皮	Xu Wu Hide
金色角质	金色的角質	金色の角質	Golden Corneum
暗器蛸的触手	暗器鱆的觸手	暗器蛸の触手	Xu Wu Tentacle
暗器蛸的爪	暗器鱆的爪	暗器蛸の爪	Xu Wu Claw
暗器蛸的牙	暗器鱆的牙	暗器蛸の牙	Xu Wu Fang
暗器蛸的髓液	暗器鱆的髓液	暗器蛸の髄液	Xu Wu Cerebrospinal Fluid
暗器蛸狩猎证	暗器鱆狩獵證	暗器蛸の狩猟証	Xu Wu Certificate
暗器蛸的上等皮	暗器鱆的上皮	暗器蛸の上皮	Xu Wu Hide+
黄金硬角质	黃金硬角質	黄金の硬角質	Golden Corneum+
暗器蛸的上等触手	暗器鱆的上觸手	暗器蛸の上触手	Xu Wu Tentacle+
暗器蛸的尖爪	暗器鱆的尖爪	暗器蛸の尖爪	Xu Wu Claw+
暗器蛸的锐牙	暗器鱆的銳牙	暗器蛸の鋭牙	Xu Wu Fang+
暗器蛸的暗玉	暗器鱆的暗玉	暗器蛸の暗玉	Xu Wu Umbragem
护龙的鳞	護龍的鱗	護竜の鱗	Guardian Scale
护龙的上等鳞	護龍的上鱗	護竜の上鱗	Guardian Scale+
锁刃龙的尾巴	鎖刃龍的尾巴	鎖刃竜の尻尾	Arkveld Tail
投射器大异臭弹	投射器大異臭彈	スリンガー大こやし弾	Large Dung Pod
补给专用大异臭弹	補給專用大異臭彈	支給用大こやし弾	EZ Large Dung Pod
锁刃龙的上等鳞	鎖刃龍的上鱗	鎖刃竜の上鱗	Arkveld Scale+
锁刃龙的坚铠壳	鎖刃龍的堅鎧殼	鎖刃竜の堅鎧殻	Arkveld Armorplate
锁刃龙的白毛	鎖刃龍的白毛	鎖刃竜の白毛	White Arkveld Pelt
无情锁刃甲	無情鎖刃甲	無慈悲な鎖刃甲	Arkveld Calloushell
锁刃龙的尖角	鎖刃龍的尖角	鎖刃竜の尖角	Arkveld Horn+
锁刃龙的宝玉	鎖刃龍的寶玉	鎖刃竜の宝玉	Arkveld Gem
锁刃龙狩猎证 S	鎖刃龍狩獵證S	鎖刃竜の狩猟証Ｓ	Arkveld Certificate S
投射器重打击弹	投射器重打擊彈	スリンガー重打撃弾	Heavy Blunt Pod
投射器重斩裂弹	投射器重斬裂彈	スリンガー重斬裂弾	Heavy Slicing Pod
投射器重炸裂弹	投射器重炸裂彈	スリンガー重炸裂弾	Heavy Explosion Pod
普通素材	普通素材	普通の素材	Basic Material
高价值素材	高價值素材	価値の高い素材	Valuable Material
影蜘蛛的坚钳角	影蜘蛛的堅鉗角	影蜘蛛の堅鋏角	Nerscylla Shear
护雷颚龙的上等鳞	護雷顎龍的上鱗	護雷顎竜の上鱗	Guardian Fulgur Scale+
护雷颚龙的上等毛皮	護雷顎龍的上毛皮	護雷顎竜の上毛皮	Guardian Fulgur Pelt+
护雷颚龙的锐牙	護雷顎龍的銳牙	護雷顎竜の鋭牙	Guardian Fulgur Fang+
护雷颚龙的上等鼻骨	護雷顎龍的上鼻骨	護雷顎竜の上鼻骨	Guardian Fulgur Nosebone+
护雷颚龙的尾巴	護雷顎龍的尾巴	護雷顎竜の尻尾	Guardian Fulgur Tail
护雷颚龙的宝玉	護雷顎龍的寶玉	護雷顎竜の宝玉	Guardian Fulgur Gem
草食种的坚壳	草食種的堅殼	草食種の堅殻	Herbivore Carapace
血盗虫的坚壳	血刺蟲的堅殼	ブブラチカの堅殻	Bulaqchi Carapace
怪物体液	魔物體液	モンスターの体液	Monster Fluid
怪物浓液	魔物濃液	モンスターの濃汁	Monster Broth
钳速龙的上等鳞	銳猛龍的上鱗	タリオスの上鱗	Talioth Scale+
翼龙的上等皮	翼龍的上皮	翼竜の上皮	Wingdrake Hide+
锯带龙的鳍	棘鰭龍的鰭	ピラギルのヒレ	Piragill Fin
锯带龙的上等鳍	棘鰭龍的上鰭	ピラギルの上ヒレ	Piragill Fin+
盔速龙的头壳	盔猛龍的頭殼	クラノダスの頭殻	Kranodath Skull
盔速龙的坚头壳	盔猛龍的堅頭殼	クラノダスの堅頭殻	Kranodath Skull+
血眠虫的甲壳	眠刺蟲的甲殼	ネマラチカの甲殻	Comaqchi Shell
血眠虫的坚壳	眠刺蟲的堅殼	ネマラチカの堅殻	Comaqchi Carapace
护鹭鹰龙的羽毛	護鷺鷹龍的羽毛	護竜セクレトの羽	Guardian Seikret Feather
护鹭鹰龙的上等羽毛	護鷺鷹龍的上羽毛	護竜セクレトの上羽	Guardian Seikret Feather+
桃毛兽王的毛	桃毛獸王的毛	桃毛獣の毛	Congalala Pelt
桃毛兽王的爪	桃毛獸王的爪	桃毛獣の爪	Congalala Claw
桃毛兽王的牙	桃毛獸王的牙	桃毛獣の牙	Congalala Fang
极彩色的毛	極彩色的毛	極彩色の毛	Vibrant Pelt
桃毛兽王狩猎证	桃毛獸王狩獵證	桃毛獣の狩猟証	Congalala Certificate
桃毛兽王的刚毛	桃毛獸王的剛毛	桃毛獣の剛毛	Congalala Pelt+
桃毛兽王的尖爪	桃毛獸王的尖爪	桃毛獣の尖爪	Congalala Claw+
桃毛兽王的锐牙	桃毛獸王的銳牙	桃毛獣の鋭牙	Congalala Fang+
极彩色的刚毛	極彩色的剛毛	極彩色の剛毛	Vibrant Pelt+
影蜘蛛的甲壳	影蜘蛛的甲殼	影蜘蛛の甲殻	Nerscylla Shell
影蜘蛛的钳角	影蜘蛛的鉗角	影蜘蛛の鋏角	Nerscylla Chelicera
影蜘蛛的爪	影蜘蛛的爪	影蜘蛛の爪	Nerscylla Claw
影蜘蛛的棘	影蜘蛛的棘	影蜘蛛の棘	Nerscylla Spike
影蜘蛛狩猎证	影蜘蛛狩獵證	影蜘蛛の狩猟証	Nerscylla Certificate
影蜘蛛的坚壳	影蜘蛛的堅殼	影蜘蛛の堅殻	Nerscylla Carapace
影蜘蛛的锐爪	影蜘蛛的銳爪	影蜘蛛の鋭爪	Nerscylla Claw+
影蜘蛛的上等棘	影蜘蛛的上棘	影蜘蛛の上棘	Nerscylla Spike+
影蜘蛛狩猎证 S	影蜘蛛狩獵證S	影蜘蛛の狩猟証Ｓ	Nerscylla Certificate S
怪鸟的上等鳞	怪鳥的上鱗	怪鳥の上鱗	Kut-Ku Scale+
怪鸟的坚壳	怪鳥的堅殼	怪鳥の堅殻	Kut-Ku Carapace
怪鸟的耳	怪鳥的耳	怪鳥の耳	Kut-Ku Ear
巨大的喙	巨大的喙	巨大なクチバシ	Giant Beak
怪鸟的翼	怪鳥的翼	怪鳥の翼	Kut-Ku Wing
怪鸟狩猎证 S	怪鳥狩獵證S	怪鳥の狩猟証Ｓ	Yian Kut-Ku Certificate S
橡胶质的皮	橡膠質的皮	ゴム質の皮	Rubbery Hide
橡胶质的上等皮	橡膠質的上等皮	ゴム質の上皮	Rubbery Hide+
毒怪鸟的翼	毒怪鳥的翼	毒怪鳥の翼	Gypceros Wing
毒怪鸟的头	毒怪鳥的頭	毒怪鳥の頭	Gypceros Head
毒怪鸟的尾巴	毒怪鳥的尾巴	毒怪鳥の尻尾	Gypceros Tail
毒怪鸟狩猎证 S	毒怪鳥狩獵證S	毒怪鳥の狩猟証Ｓ	Gypceros Certificate S
鸟龙玉	鳥龍玉	鳥竜玉	Bird Wyvern Gem
狂奔精华	急奔萃取液	狂走エキス	Dash Extract
雌火龙狩猎证 S	雌火龍狩獵證S	雌火竜の狩猟証Ｓ	Rathian Certificate S
雪狮子王的刚毛	雪獅子王的剛毛	雪獅子の剛毛	Blangonga Pelt+
雪狮子王的锐牙	雪獅子王的銳牙	雪獅子の鋭牙	Blangonga Fang+
雪狮子王的胡须	雪獅子王的鬍鬚	雪獅子の髭	Blangonga Whisker
雪狮子王的尾巴	雪獅子王的尾巴	雪獅子の尻尾	Blangonga Tail
雪狮子王狩猎证 S	雪獅子王狩獵證S	雪獅子の狩猟証Ｓ	Blangonga Certificate S
铠龙的坚壳	鎧龍的堅殼	鎧竜の堅殻	Gravios Carapace
铠龙的头壳	鎧龍的頭殼	鎧竜の頭殻	Gravios Skull
铠龙的坚胸壳	鎧龍的堅胸殼	鎧竜の堅胸殻	Gravios Pleura+
铠龙的延髓	鎧龍的延髓	鎧竜の延髄	Gravios Medulla
铠龙的翼	鎧龍的翼	鎧竜の翼	Gravios Wing
铠龙狩猎证 S	鎧龍狩獵證S	鎧竜の狩猟証Ｓ	Gravios Certificate S
火龙的上等鳞	火龍的上鱗	火竜の上鱗	Rathalos Scale+
火龙的坚壳	火龍的堅殼	火竜の堅殻	Rathalos Carapace
火龙的翼	火龍的翼	火竜の翼	Rathalos Wing
火龙的尾巴	火龍的尾巴	火竜の尻尾	Rathalos Tail
火龙的红玉	火龍的紅玉	火竜の紅玉	Rathalos Ruby
火龙狩猎证 S	火龍狩獵證S	火竜の狩猟証Ｓ	Rathalos Certificate S
黑蚀龙的上等鳞	黑蝕龍的上鱗	黒蝕竜の上鱗	Gore Magala Scale+
黑蚀龙的坚壳	黑蝕龍的堅殼	黒蝕竜の堅殻	Gore Magala Carapace
黑蚀龙的上等暗翼	黑蝕龍的上暗翼	黒蝕竜の上暗翼	Gore Magala Wing+
黑蚀龙的锐惨爪	黑蝕龍的銳慘爪	黒蝕竜の鋭惨爪	Gore Magala Ripclaw+
黑蚀龙的尾巴	黑蝕龍的尾巴	黒蝕竜の尻尾	Gore Magala Tail
黑蚀龙的尖触角	黑蝕龍的尖觸角	黒蝕竜の尖触角	Gore Magala Feeler+
黑蚀龙的暗玉	黑蝕龍的闇玉	黒蝕竜の闇玉	Gore Magala Nyctgem
黑蚀龙狩猎证 S	黑蝕龍狩獵證S	黒蝕竜の狩猟証Ｓ	Gore Magala Certificate S
狂龙结晶	狂龍結晶	狂竜結晶	Frenzy Crystal
桃毛兽的毛	桃毛獸的毛	コンガの毛	Conga Pelt
桃毛兽的刚毛	桃毛獸的剛毛	コンガの剛毛	Conga Pelt+
巨蜂的甲壳	巨蜂的甲殼	ランゴスタの甲殻	Vespoid Shell
巨蜂的坚壳	巨蜂的堅殼	ランゴスタの堅殻	Vespoid Carapace
巨蜂的翅膀	巨蜂的翅膀	ランゴスタの羽	Vespoid Wing
巨蜂的薄羽	巨蜂的薄羽	ランゴスタの薄羽	Vespoid Innerwing
雪狮子的刚毛	雪獅子的剛毛	ブランゴの剛毛	Blango Pelt+
光水晶	亮水晶	ライトクリスタル	Lightcrystal
璀璨水晶	璀璨水晶	ノヴァクリスタル	Novacrystal
红莲石	紅蓮石	紅蓮石	Firestone
狱炎石	獄炎石	獄炎石	Firecell Stone
白鸠石	白鳩石	ユニオン鉱石	Fucium Ore
结冰金属	冰光金屬	アイシスメタル	Icium
雪光金属	雪光金屬	グラシスメタル	Gracium
护雷颚龙狩猎证 S	護雷顎龍狩獵證S	護雷顎竜の狩猟証Ｓ	Guardian Fulgur Certificate S
桃毛兽王狩猎证 S	桃毛獸王狩獵證S	桃毛獣の狩猟証Ｓ	Congalala Certificate S
漆黑的油骨	黝黑油骨	黒ずんだ油骨	Charred Oilbone
结冻冰骨	結凍冰骨	凍てついた氷骨	Frozen Icebone
粗壮护骨	粗狀護骨	たくましい護骨	Tough Guardian Bone
良质硬骨	優質硬骨	上質な堅骨	Quality Bone
破碎结晶	破碎結晶	砕けた結晶	Crushed Crystal
白雾色结晶	霧白色結晶	白く霞んだ結晶	Cloudy Crystal
微光结晶	微亮結晶	仄明るい結晶	Coruscating Crystal
龙血石碎片	龍血石碎片	竜血石のかけら	Wyverian Bloodstone Shard
小块龙血石	小塊龍血石	小さな竜血石	Wyverian Bloodstone (S)
龙血石	龍血石	竜血石	Wyverian Bloodstone
大块龙血石	大塊龍血石	大きな竜血石	Wyverian Bloodstone (L)
巨大龙血石	龍血石巨塊	竜血石の塊	Wyverian Bloodstone Chunk
火炎袋	火炎袋	火炎袋	Flame Sac
爆炎袋	爆炎袋	爆炎袋	Inferno Sac
水袋	水袋	水袋	Aqua Sac
大水袋	大水袋	大水袋	Torrent Sac
电击袋	電擊袋	電撃袋	Thunder Sac
冰结袋	冰結袋	氷結袋	Frost Sac
冻结袋	凍結袋	凍結袋	Freezer Sac
毒袋	毒袋	毒袋	Poison Sac
猛毒袋	猛毒袋	猛毒袋	Toxin Sac
刺花蜘蛛的粘液	刺花蜘蛛的黏液	刺花蜘蛛の粘液	Lala Barina Mucus
刺花蜘蛛的浓粘液	刺花蜘蛛的濃稠黏液	刺花蜘蛛の濃粘液	Lala Barina Mucus+
睡眠袋	睡眠袋	睡眠袋	Sleep Sac
昏睡袋	昏睡袋	昏睡袋	Coma Sac
护龙的血	護龍的血	護竜の血	Guardian Blood
护龙的净血	護龍的淨血	護竜の浄血	Guardian Blood+
老旧武器碎片	老舊武器碎片	古びた武器片	Ancient Weapon Fragment
辣椒	辣椒	トウガラシ	Hot Pepper
冰冷菇	冰冷菇	ヒンヤリダケ	Chillshroom
老旧龙雕币	老舊龍雕幣	古びた竜彫貨	Ancient Wyvern Coin
投射器重贯穿弹	投射器重貫通彈	スリンガー重貫通弾	Heavy Piercing Pod
装备中的衣装	裝備中的衣裝	装備中の装衣	Equipped Mantles
黯灰金碎屑	鈍色礦碎屑	ニビイロの金屑	Drearisite Scraps
带战伤的鳞	帶戰傷的鱗片	戦傷のある鱗	Scarred Scale
大王扶桑花	大王扶桑花	ドスビスカス	Great Hibiscus
盾突龙的毛织品	盾突龍的毛布	ダルトドンの毛織物	Dalthydon Wool
阿孜兹的鞣制皮革	阿茲茲的鞣製皮革	アズズのなめし革	Azuz Tanned Leather
酥加的布料	蘇加的布料	スージャ反物	Suja Textiles
西尔德棉布	希爾德棉布	シルドコットン	Sild Cotton
咬鱼的皮	咬魚的皮	咬魚の皮	Gajau Hide
大王旗鱼的鳍	大王旗魚的鰭	ダイオウカジキのヒレ	Speartuna Fin
调查团票	調查團票	調査団チケット	Commission Ticket
调查队耳饰票	調查隊耳飾票	調査隊耳飾りチケット	Expedition Headgear Ticket
花妖猩票	花猩猩票	ハナショウチケット	Mimiphyta Ticket
谜之宝珠·剑	謎樣的寶珠・劍	なぞの珠・剣	Mystery Orb - Sword
发光宝珠·剑	發光寶珠・劍	光る珠・剣	Glowing Orb - Sword
老旧宝珠·剑	老舊寶珠・劍	古びた珠・剣	Ancient Orb - Sword
老旧武器碎片·筒	老舊武器碎片・筒	古びた武器片・筒	Old Weapon Shard - Tube
老旧武器碎片·盘	老舊武器碎片・盤	古びた武器片・盤	Old Weapon Shard - Disc
老旧武器碎片·装置	老舊武器碎片・裝置	古びた武器片・装置	Old Weapon Shard - Device
铠玉	鎧玉	鎧玉	Armor Sphere
上铠玉	上鎧玉	上鎧玉	Armor Sphere+
尖铠玉	尖鎧玉	尖鎧玉	Advanced Armor Sphere
坚铠玉	堅鎧玉	堅鎧玉	Hard Armor Sphere
不动衣装	不動衣裝	不動の装衣	Rocksteady Mantle
再生衣装	再生衣裝	再生の装衣	Mending Mantle
回避衣装	迴避衣裝	回避の装衣	Evasion Mantle
蚀攻衣装	蝕攻衣裝	蝕攻の装衣	Corrupted Mantle
飞龙的蛋	飛龍的蛋	飛竜の卵	Wyvern Egg
狂野肉干	狂野肉乾	ワイルドジャーキー	Wild Jerky
增强剂	增強劑	増強剤	Catalyst
炸药	爆藥	爆薬	Gunpowder
小木桶	小木桶	小タル	Small Barrel
大木桶	大木桶	大タル	Large Barrel
蜘蛛网	蜘蛛網	クモの巣	Spider Web
网子	網子	ネット	Net
火药金鱼鳞片	火藥金魚鱗片	バクヤクウロコ	Gunpowderfish Scale
破裂龙鱼鳞片	破裂鱗片	ハレツウロコ	Burst Arowana Scale
爆裂龙鱼鳞片	爆裂鱗片	バクレツウロコ	Bomb Arowana Scale
金色鳞片	金色鱗片	金色のウロコ	Gilded Scale
黄金鳞片	黃金鱗片	黄金のウロコ	Golden Scale
白金鳞片	白金鱗片	白金のウロコ	Platinum Scale
钢之炼金票	鋼之鍊金票	鋼の錬金チケット	Steel Melding Ticket
银之炼金票	銀之鍊金票	銀の錬金チケット	Silver Melding Ticket
金之炼金票	金之鍊金票	金の錬金チケット	Gold Melding Ticket
钢之遗物票	鋼之遺物票	鋼の遺物チケット	Steel Relic Ticket
银之遗物票	銀之遺物票	銀の遺物チケット	Silver Relic Ticket
金之遗物票	金之遺物票	金の遺物チケット	Gold Relic Ticket
黯灰金石	鈍色礦	ニビイロカネ	Drearisite
斑驳金石	斑色礦	マダライロカネ	Specklite
银色金石	銀色礦	ギンイロカネ	Argecite
七色金石	七彩礦	ナナイロカネ	Oricalcite
钢蛋	鋼蛋	鋼のたまご	Steel Egg
银蛋	銀蛋	銀のたまご	Silver Egg
金蛋	金蛋	金のたまご	Golden Egg
重铠玉	重鎧玉	重鎧玉	Heavy Armor Sphere
尖龙骨	尖龍骨	尖竜骨	Monster Keenbone
坚龙骨	堅龍骨	堅竜骨	Monster Hardbone
坚固的骨	堅固的骨	堅牢な骨	Stoutbone
坚固的巨骨	堅固的巨骨	堅牢な巨骨	Great Stoutbone
暗器蛸狩猎证 S	暗器鱆狩獵證S	暗器蛸の狩猟証Ｓ	Xu Wu Certificate S
烤焦的壁虎	烤焦的壁虎	ヤモリの黒焼き	Charred Lizard
